15.03.2023 14:47:59: SourceFile=Hata, TargetFile=Mesajı, Status=False, Hata Mesajı = Girilen Dosya Yolu Bulunamadı..
15.03.2023 14:48:05: SourceFile=b.zip, TargetFile=E:\g\test\b-20230315144805.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:05: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
15.03.2023 14:48:05: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
15.03.2023 14:48:05: SourceFile=C:\b\Bidding.zip, TargetFile=E:\g\test\Bidding-20230315144805.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:05: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\g\test\FileManagement-20230315144805.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:05: SourceFile=C:\b\forms.zip, TargetFile=E:\g\test\forms-20230315144805.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:06: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\g\test\PdfWriter-20230315144806.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:06: SourceFile=C:\b\to-do.zip, TargetFile=E:\g\test\to-do-20230315144806.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:06: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\g\test\Trendyol-20230315144806.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:12: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
15.03.2023 14:48:12: SourceFile=C:\b\Bidding.zip, TargetFile=E:\g\test\Bidding-20230315144812.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:12: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\g\test\FileManagement-20230315144812.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:12: SourceFile=C:\b\forms.zip, TargetFile=E:\g\test\forms-20230315144812.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:14: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\g\test\PdfWriter-20230315144814.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:14: SourceFile=C:\b\to-do.zip, TargetFile=E:\g\test\to-do-20230315144814.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:14: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\g\test\Trendyol-20230315144814.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:16: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
15.03.2023 14:48:16: SourceFile=C:\b\Bidding.zip, TargetFile=E:\g\test\Bidding.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:17: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\g\test\FileManagement.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:17: SourceFile=C:\b\forms.zip, TargetFile=E:\g\test\forms.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:18: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\g\test\PdfWriter.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:18: SourceFile=C:\b\to-do.zip, TargetFile=E:\g\test\to-do.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:18: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\g\test\Trendyol.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:22: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 0
15.03.2023 14:48:22: SourceFile=C:\b\Bidding.zip, TargetFile=E:\g\test\Bidding.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:22: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\g\test\FileManagement.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:22: SourceFile=C:\b\forms.zip, TargetFile=E:\g\test\forms.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:25: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\g\test\PdfWriter.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
15.03.2023 14:48:25: SourceFile=C:\b\to-do.zip, TargetFile=E:\g\test\to-do.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
